,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
1759,1.2705625670493919,0.4635733650619195,2.511446353850373,1.0537319750382859,4.616616350236423,0.7178415323193503,1.1898277346278743,0.4528811811835785,1.5593321728030907,0.5466161505909874,0.4946442507028465,3.846536937309869,0.7041928461820068,3.432670383146404,0.9332237237032944,-0.22733811570045545,0.28850291862106736
854,0.8919717806337355,0.4635733650619195,3.3699269118951674,3.848641457920617,0.9323548127535256,5.488572130648405,1.1898277346278743,1.2044203625081993,1.5593321728030907,1.7523484875775024,2.119314021726292,3.41651603878445,2.579442173876757,7.490993484652672,0.1334814923542229,0.884267642270156,0.28850291862106736
658,0.6518697946343243,0.052451849714169385,1.3812948489292334,0.7401764311587918,2.191926971011166,2.442944119771841,1.1898277346278743,0.703393239572877,1.5593321728030907,1.7523484875775024,7.941047367893638,2.8211024869800245,0.23538051425831946,3.7548361986013905,0.3922078689502038,-0.20207359056234966,0.28850291862106736
1447,2.3582368675490786,0.4635733650619195,7.353259137276867,9.35639138560183,-0.03731501980707206,-0.4680177883910861,1.1898277346278743,2.2064716022221185,0.5225889070363516,-0.6591161863955277,-0.4530797823941633,1.233333015501556,2.579442173876757,3.880200569960374,0.5580543236857413,0.05056499119749959,0.28850291862106736
153,4.527022510463018,0.4635733650619195,2.528406539347844,1.1603469790210754,4.432737264145499,0.5094280038608393,1.1898277346278743,1.4549324208974976,1.5593321728030907,2.9580808245640178,3.067038054823302,6.5258979204297844,3.2826606717622875,2.3825505402231775,2.051509945708455,-0.5052378877878062,0.28850291862106736
376,3.5865660824213936,0.4635733650619195,1.632938018324925,0.6968124077799807,2.9764453716399966,-0.4680177883910861,0.982650076513958,1.4549324208974976,1.1446343688600256,-0.6591161863955277,-0.4530797823941633,0.670997994352932,2.931051422819522,0.6314544320294989,0.7235718180984583,-0.5052378877878062,0.28850291862106736
801,-0.5405398998497785,0.4635733650619195,2.1401670971105964,2.726285106464903,-0.01763551275559669,-0.37322337031384206,1.1898277346278743,2.2064716022221185,1.5593321728030907,-0.2572070150431386,-0.3176906348088762,3.251123385505443,2.6966452568576784,0.8771229556044972,-0.3582838433025041,2.2737698375175137,0.28850291862106736
120,2.496858821115089,0.4635733650619195,1.5928916112522364,1.2146710976184305,1.747216987547221,0.2063927045947417,1.1898277346278743,1.95595954383282,1.5593321728030907,1.7523484875775024,0.9008116934587079,2.1926104045197974,2.579442173876757,-0.13025228702993286,0.4336238943470505,-0.5052378877878062,0.28850291862106736
109,1.7659522073968097,0.4635733650619195,0.9081690989108616,0.680806021370708,1.0214608750942127,2.4132104108461827,1.1898277346278743,1.95595954383282,1.5593321728030907,2.1542576589298914,2.390092316896866,1.4979612607479673,0.7041928461820068,2.1628422530271654,0.559768644024309,-0.22733811570045545,0.28850291862106736
171,-0.460642629168337,0.4635733650619195,2.6592579381373977,2.392513415221169,2.1287449551776754,0.1800359801022783,1.1898277346278743,2.2064716022221185,1.1446343688600256,2.1542576589298914,1.983924874141005,3.6811442840308612,1.0558020951247724,2.120799047693959,-0.32618999068097226,1.9958700654301633,0.28850291862106736
1569,0.04785563667678159,0.4635733650619195,2.0603487196237547,2.0927993484833975,1.1324646790115314,1.185146465507992,1.1898277346278743,2.2064716022221185,1.5593321728030907,2.9580808245640178,1.5777574313851437,3.978851059933074,1.6418175100293817,2.475329199084919,-0.22256691364334477,0.3284647632848503,0.28850291862106736
